# Wavelength (nm)	Intensity
200.00000	0.0
200.17094	0.0
200.34187	0.0
200.51282	0.0
200.68376	0.0
200.85471	0.0
201.02563	0.0
201.19658	0.0
201.36752	0.0
201.53847	0.0
201.70940	0.0
201.88034	0.0
202.05128	0.0
202.22223	0.0
202.39316	0.0
202.56410	0.0
202.73505	0.0
202.90598	0.0
203.07692	0.0
203.24786	0.0
203.41881	0.0
203.58974	0.0
203.76068	0.0
203.93163	0.0
204.10257	0.0
204.27350	0.0
204.44444	0.0
204.61539	0.0
204.78633	0.0
204.95726	0.0
205.12820	0.0
205.29915	0.0
205.47009	0.0
205.64102	0.0
205.81197	0.0
205.98291	0.0
206.15384	0.0
206.32478	0.0
206.49573	0.0
206.66667	0.0
206.83760	0.0
207.00854	0.0
207.17949	0.0
207.35043	0.0
207.52136	0.0
207.69231	0.0
207.86325	0.0
208.03419	0.0
208.20512	0.0
208.37607	0.0
208.54701	0.0
208.71794	0.0
208.88889	0.0
209.05983	0.0
209.23077	0.0
209.40170	0.0
209.57265	0.0
209.74359	0.0
209.91454	0.0
210.08546	0.0
210.25641	0.0
210.42735	0.0
210.59830	0.0
210.76923	0.0
210.94017	0.0
211.11111	0.0
211.28206	0.0
211.45299	0.0
211.62393	0.0
211.79488	0.0
211.96581	0.0
212.13675	0.0
212.30769	0.0
212.47864	0.0
212.64957	0.0
212.82051	0.0
212.99146	0.0
213.16240	0.0
213.33333	0.0
213.50427	0.0
213.67522	0.0
213.84616	0.0
214.01709	0.0
214.18803	0.0
214.35898	0.0
214.52991	0.0
214.70085	0.0
214.87180	0.0
215.04274	0.0
215.21367	0.0
215.38461	0.0
215.55556	0.0
215.72650	0.0
215.89743	0.0
216.06837	0.0
216.23932	0.0
216.41026	0.0
216.58119	0.0
216.75214	0.0
216.92308	0.0
217.09402	0.0
217.26495	0.0
217.43590	0.0
217.60684	0.0
217.77777	0.0
217.94872	0.0
218.11966	0.0
218.29060	0.0
218.46153	0.0
218.63248	0.0
218.80342	0.0
218.97437	0.0
219.14529	0.0
219.31624	0.0
219.48718	0.0
219.65813	0.0
219.82906	0.0
220.00000	0.0
220.17094	0.0
220.34187	0.0
220.51282	0.0
220.68376	0.0
220.85471	0.0
221.02563	0.0
221.19658	0.0
221.36752	0.0
221.53847	0.0
221.70940	0.0
221.88034	0.0
222.05128	0.0
222.22223	0.0
222.39316	0.0
222.56410	0.0
222.73505	0.0
222.90598	0.0
223.07692	0.0
223.24786	0.0
223.41881	0.0
223.58974	0.0
223.76068	0.0
223.93163	0.0
224.10257	0.0
224.27350	0.0
224.44444	0.0
224.61539	0.0
224.78633	0.0
224.95726	0.0
225.12820	0.0
225.29915	0.0
225.47009	0.0
225.64102	0.0
225.81197	0.0
225.98291	0.0
226.15384	0.0
226.32478	0.0
226.49573	0.0
226.66667	0.0
226.83760	0.0
227.00854	0.0
227.17949	0.0
227.35043	0.0
227.52136	0.0
227.69231	0.0
227.86325	0.0
228.03419	0.0
228.20512	0.0
228.37607	0.0
228.54701	0.0
228.71794	0.0
228.88889	0.0
229.05983	0.0
229.23077	0.0
229.40170	0.0
229.57265	0.0
229.74359	0.0
229.91454	0.0
230.08546	0.0
230.25641	0.0
230.42735	0.0
230.59830	0.0
230.76923	0.0
230.94017	0.0
231.11111	0.0
231.28206	0.0
231.45299	0.0
231.62393	0.0
231.79488	0.0
231.96581	0.0
232.13675	0.0
232.30769	0.0
232.47864	0.0
232.64957	0.0
232.82051	0.0
232.99146	0.0
233.16240	0.0
233.33333	0.0
233.50427	0.0
233.67522	0.0
233.84616	0.0
234.01709	0.0
234.18803	0.0
234.35898	0.0
234.52991	0.0
234.70085	0.0
234.87180	0.0
235.04274	0.0
235.21367	0.0
235.38461	0.0
235.55556	0.0
235.72650	0.0
235.89743	0.0
236.06837	0.0
236.23932	0.0
236.41026	0.0
236.58119	0.0
236.75214	0.0
236.92308	0.0
237.09402	0.0
237.26495	0.0
237.43590	0.0
237.60684	0.0
237.77777	0.0
237.94872	0.0
238.11966	0.0
238.29060	0.0
238.46153	0.0
238.63248	0.0
238.80342	0.0
238.97437	0.0
239.14529	0.0
239.31624	0.0
239.48718	0.0
