# Wavelength (nm)	Intensity
199.27356	0.0
199.28722	0.0
199.30089	0.0
199.31454	0.0
199.32822	0.0
199.34189	0.0
199.35555	0.0
199.36922	0.0
199.38289	0.0
199.39656	0.0
199.41022	0.0
199.42389	0.0
199.43756	0.0
199.45123	0.0
199.4649	0.0
199.47858	0.0
199.49225	0.0
199.50592	0.0
199.51959	0.0
199.53326	0.0
199.54694	0.0
199.56061	0.0
199.57428	0.0
199.58795	0.0
199.60162	0.0
199.61531	0.0
199.62898	0.0
199.64265	0.0
199.65634	0.0
199.67001	0.0
199.68369	0.0
199.69737	0.0
199.71104	0.0
199.72472	0.0
199.7384	0.0
199.75208	0.0
199.76576	0.0
199.77943	0.0
199.79312	0.0
199.80681	0.0
199.82048	0.0
199.83417	0.0
199.84785	0.0
199.86153	0.0
199.87521	0.0
199.8889	0.0
199.90259	0.0
199.91626	0.0
199.92995	0.0
199.94363	0.0
199.95732	0.0
199.97101	0.0
199.9847	0.0
199.99838	0.0
200.01207	0.0
200.02576	0.0
200.03944	0.0
200.05313	0.0
200.06682	0.0
200.08052	0.0
200.09421	0.0
200.10789	0.0
200.12158	0.0
200.13528	0.0
200.14897	0.0
200.16266	0.0
200.17636	0.0
200.19005	0.0
200.20374	0.0
200.21744	0.0
200.23112	0.0
200.24483	0.0
200.25851	0.0
200.27222	0.0
200.2859	0.0
200.29961	0.0
200.31331	0.0
200.327	0.0
200.3407	338.749
200.3544	190.222
200.3681	222.153
200.38179	461.458
200.39549	466.87
200.40919	465.339
200.4229	501.076
200.4366	277.376
200.4503	415.843
200.464	498.125
200.47771	407.327
200.49141	357.337
200.50511	533.455
200.51881	413.696
200.53252	447.868
200.54622	464.969
200.55992	353.508
200.57362	551.82
200.58733	622.521
200.60104	594.135
200.61475	380.255
200.62845	449.138
200.64217	890.928
200.65587	864.886
200.66957	756.301
200.68329	665.936
200.69699	611.626
200.71071	732.918
200.72441	988.597
200.73813	987.032
200.75183	1062.27
200.76555	869.057
200.77925	1041.33
200.79297	919.838
200.80669	1292.6
200.82039	1694.8
200.83411	1264.32
200.84782	1471.92
200.86154	1218.92
200.87524	1077.13
200.88896	1169.46
200.90268	1182.01
200.9164	1137.27
200.93011	710.317
200.94383	844.776
200.95755	1002.67
200.97127	1071.29
200.98499	871.195
200.9987	500.277
201.01242	657.279
201.02614	1161.26
201.03986	883.477
201.05357	482.982
201.06731	617.857
201.08102	604.516
201.09474	485.591
201.10846	650.435
201.12219	658.866
201.13591	498.235
201.14963	847.402
201.16336	774.797
201.17708	509.717
201.19081	539.936
201.20453	855.836
201.21826	713.714
201.23198	345.645
201.24571	328.823
201.25943	393.199
201.27316	296.043
201.2869	488.888
201.30061	505.397
201.31435	656.44
201.32808	689.65
201.34181	571.15
201.35553	369.817
201.36926	768.568
